,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,total_bill,tip,sex,smoker,day,time,size,tip_rate,tip_and_bill
0,0,0,0,0,16.99,1.01,Female,No,Sun,Dinner,2,0.16,18.0
1,1,1,1,1,10.34,1.66,Male,No,Sun,Dinner,3,0.15,12.0
2,2,2,2,2,21.01,3.5,Male,No,Sun,Dinner,3,0.15,24.51
3,3,3,3,3,23.68,3.31,Male,No,Sun,Dinner,2,0.16,26.99
4,4,4,4,4,24.59,3.61,Female,No,Sun,Dinner,4,0.14,28.2
5,5,5,5,5,25.29,4.71,Male,No,Sun,Dinner,4,0.14,30.0
6,6,6,6,6,8.77,2.0,Male,No,Sun,Dinner,2,0.16,10.77
7,7,7,7,7,26.88,3.12,Male,No,Sun,Dinner,4,0.14,30.0
8,8,8,8,8,15.04,1.96,Male,No,Sun,Dinner,2,0.16,17.0
9,9,9,9,9,14.78,3.23,Male,No,Sun,Dinner,2,0.16,18.009999999999998
10,10,10,10,10,10.27,1.71,Male,No,Sun,Dinner,2,0.16,11.98
11,11,11,11,11,35.26,5.0,Female,No,Sun,Dinner,4,0.14,40.26
12,12,12,12,12,15.42,1.57,Male,No,Sun,Dinner,2,0.16,16.99
13,13,13,13,13,18.43,3.0,Male,No,Sun,Dinner,4,0.14,21.43
14,14,14,14,14,14.83,3.02,Female,No,Sun,Dinner,2,0.16,17.85
15,15,15,15,15,21.58,3.92,Male,No,Sun,Dinner,2,0.16,25.5
16,16,16,16,16,10.33,1.67,Female,No,Sun,Dinner,3,0.15,12.0
17,17,17,17,17,16.29,3.71,Male,No,Sun,Dinner,3,0.15,20.0
18,18,18,18,18,16.97,3.5,Female,No,Sun,Dinner,3,0.15,20.47
19,19,19,19,19,20.65,3.35,Male,No,Sat,Dinner,3,0.15,24.0
20,20,20,20,20,17.92,4.08,Male,No,Sat,Dinner,2,0.16,22.0
21,21,21,21,21,20.29,2.75,Female,No,Sat,Dinner,2,0.16,23.04
22,22,22,22,22,15.77,2.23,Female,No,Sat,Dinner,2,0.16,18.0
23,23,23,23,23,39.42,7.58,Male,No,Sat,Dinner,4,0.14,47.0
24,24,24,24,24,19.82,3.18,Male,No,Sat,Dinner,2,0.16,23.0
25,25,25,25,25,17.81,2.34,Male,No,Sat,Dinner,4,0.14,20.15
26,26,26,26,26,13.37,2.0,Male,No,Sat,Dinner,2,0.16,15.37
27,27,27,27,27,12.69,2.0,Male,No,Sat,Dinner,2,0.16,14.69
28,28,28,28,28,21.7,4.3,Male,No,Sat,Dinner,2,0.16,26.0
29,29,29,29,29,19.65,3.0,Female,No,Sat,Dinner,2,0.16,22.65
30,30,30,30,30,9.55,1.45,Male,No,Sat,Dinner,2,0.16,11.0
31,31,31,31,31,18.35,2.5,Male,No,Sat,Dinner,4,0.14,20.85
32,32,32,32,32,15.06,3.0,Female,No,Sat,Dinner,2,0.16,18.060000000000002
33,33,33,33,33,20.69,2.45,Female,No,Sat,Dinner,4,0.14,23.14
34,34,34,34,34,17.78,3.27,Male,No,Sat,Dinner,2,0.16,21.05
35,35,35,35,35,24.06,3.6,Male,No,Sat,Dinner,3,0.15,27.66
36,36,36,36,36,16.31,2.0,Male,No,Sat,Dinner,3,0.15,18.31
37,37,37,37,37,16.93,3.07,Female,No,Sat,Dinner,3,0.15,20.0
38,38,38,38,38,18.69,2.31,Male,No,Sat,Dinner,3,0.15,21.0
39,39,39,39,39,31.27,5.0,Male,No,Sat,Dinner,3,0.15,36.269999999999996
40,40,40,40,40,16.04,2.24,Male,No,Sat,Dinner,3,0.15,18.28
41,41,41,41,41,17.46,2.54,Male,No,Sun,Dinner,2,0.16,20.0
42,42,42,42,42,13.94,3.06,Male,No,Sun,Dinner,2,0.16,17.0
43,43,43,43,43,9.68,1.32,Male,No,Sun,Dinner,2,0.16,11.0
44,44,44,44,44,30.4,5.6,Male,No,Sun,Dinner,4,0.14,36.0
45,45,45,45,45,18.29,3.0,Male,No,Sun,Dinner,2,0.16,21.29
46,46,46,46,46,22.23,5.0,Male,No,Sun,Dinner,2,0.16,27.23
47,47,47,47,47,32.4,6.0,Male,No,Sun,Dinner,4,0.14,38.4
48,48,48,48,48,28.55,2.05,Male,No,Sun,Dinner,3,0.15,30.6
49,49,49,49,49,18.04,3.0,Male,No,Sun,Dinner,2,0.16,21.04
50,50,50,50,50,12.54,2.5,Male,No,Sun,Dinner,2,0.16,15.04
51,51,51,51,51,10.29,2.6,Female,No,Sun,Dinner,2,0.16,12.889999999999999
52,52,52,52,52,34.81,5.2,Female,No,Sun,Dinner,4,0.14,40.010000000000005
53,53,53,53,53,9.94,1.56,Male,No,Sun,Dinner,2,0.16,11.5
54,54,54,54,54,25.56,4.34,Male,No,Sun,Dinner,4,0.14,29.9
55,55,55,55,55,19.49,3.51,Male,No,Sun,Dinner,2,0.16,23.0
56,56,56,56,56,38.01,3.0,Male,Yes,Sat,Dinner,4,0.14,41.01
57,57,57,57,57,26.41,1.5,Female,No,Sat,Dinner,2,0.16,27.91
58,58,58,58,58,11.24,1.76,Male,Yes,Sat,Dinner,2,0.16,13.0
59,59,59,59,59,48.27,6.73,Male,No,Sat,Dinner,4,0.14,55.0
60,60,60,60,60,20.29,3.21,Male,Yes,Sat,Dinner,2,0.16,23.5
61,61,61,61,61,13.81,2.0,Male,Yes,Sat,Dinner,2,0.16,15.81
62,62,62,62,62,11.02,1.98,Male,Yes,Sat,Dinner,2,0.16,13.0
63,63,63,63,63,18.29,3.76,Male,Yes,Sat,Dinner,4,0.14,22.049999999999997
64,64,64,64,64,17.59,2.64,Male,No,Sat,Dinner,3,0.15,20.23
65,65,65,65,65,20.08,3.15,Male,No,Sat,Dinner,3,0.15,23.229999999999997
66,66,66,66,66,16.45,2.47,Female,No,Sat,Dinner,2,0.16,18.919999999999998
67,67,67,67,67,3.07,1.0,Female,Yes,Sat,Dinner,1,0.17,4.07
68,68,68,68,68,20.23,2.01,Male,No,Sat,Dinner,2,0.16,22.240000000000002
69,69,69,69,69,15.01,2.09,Male,Yes,Sat,Dinner,2,0.16,17.1
70,70,70,70,70,12.02,1.97,Male,No,Sat,Dinner,2,0.16,13.99
71,71,71,71,71,17.07,3.0,Female,No,Sat,Dinner,3,0.15,20.07
72,72,72,72,72,26.86,3.14,Female,Yes,Sat,Dinner,2,0.16,30.0
73,73,73,73,73,25.28,5.0,Female,Yes,Sat,Dinner,2,0.16,30.28
74,74,74,74,74,14.73,2.2,Female,No,Sat,Dinner,2,0.16,16.93
75,75,75,75,75,10.51,1.25,Male,No,Sat,Dinner,2,0.16,11.76
76,76,76,76,76,17.92,3.08,Male,Yes,Sat,Dinner,2,0.16,21.0
77,77,77,77,77,27.2,4.0,Male,No,Thur,Lunch,4,0.14,31.2
78,78,78,78,78,22.76,3.0,Male,No,Thur,Lunch,2,0.16,25.76
79,79,79,79,79,17.29,2.71,Male,No,Thur,Lunch,2,0.16,20.0
80,80,80,80,80,19.44,3.0,Male,Yes,Thur,Lunch,2,0.16,22.44
81,81,81,81,81,16.66,3.4,Male,No,Thur,Lunch,2,0.16,20.06
82,82,82,82,82,10.07,1.83,Female,No,Thur,Lunch,1,0.17,11.9
83,83,83,83,83,32.68,5.0,Male,Yes,Thur,Lunch,2,0.16,37.68
84,84,84,84,84,15.98,2.03,Male,No,Thur,Lunch,2,0.16,18.01
85,85,85,85,85,34.83,5.17,Female,No,Thur,Lunch,4,0.14,40.0
86,86,86,86,86,13.03,2.0,Male,No,Thur,Lunch,2,0.16,15.03
87,87,87,87,87,18.28,4.0,Male,No,Thur,Lunch,2,0.16,22.28
88,88,88,88,88,24.71,5.85,Male,No,Thur,Lunch,2,0.16,30.560000000000002
89,89,89,89,89,21.16,3.0,Male,No,Thur,Lunch,2,0.16,24.16
90,90,90,90,90,28.97,3.0,Male,Yes,Fri,Dinner,2,0.16,31.97
91,91,91,91,91,22.49,3.5,Male,No,Fri,Dinner,2,0.16,25.99
92,92,92,92,92,5.75,1.0,Female,Yes,Fri,Dinner,2,0.16,6.75
93,93,93,93,93,16.32,4.3,Female,Yes,Fri,Dinner,2,0.16,20.62
94,94,94,94,94,22.75,3.25,Female,No,Fri,Dinner,2,0.16,26.0
95,95,95,95,95,40.17,4.73,Male,Yes,Fri,Dinner,4,0.14,44.900000000000006
96,96,96,96,96,27.28,4.0,Male,Yes,Fri,Dinner,2,0.16,31.28
97,97,97,97,97,12.03,1.5,Male,Yes,Fri,Dinner,2,0.16,13.53
98,98,98,98,98,21.01,3.0,Male,Yes,Fri,Dinner,2,0.16,24.01
99,99,99,99,99,12.46,1.5,Male,No,Fri,Dinner,2,0.16,13.96
100,100,100,100,100,11.35,2.5,Female,Yes,Fri,Dinner,2,0.16,13.85
101,101,101,101,101,15.38,3.0,Female,Yes,Fri,Dinner,2,0.16,18.380000000000003
102,102,102,102,102,44.3,2.5,Female,Yes,Sat,Dinner,3,0.15,46.8
103,103,103,103,103,22.42,3.48,Female,Yes,Sat,Dinner,2,0.16,25.900000000000002
104,104,104,104,104,20.92,4.08,Female,No,Sat,Dinner,2,0.16,25.0
105,105,105,105,105,15.36,1.64,Male,Yes,Sat,Dinner,2,0.16,17.0
106,106,106,106,106,20.49,4.06,Male,Yes,Sat,Dinner,2,0.16,24.549999999999997
107,107,107,107,107,25.21,4.29,Male,Yes,Sat,Dinner,2,0.16,29.5
108,108,108,108,108,18.24,3.76,Male,No,Sat,Dinner,2,0.16,22.0
109,109,109,109,109,14.31,4.0,Female,Yes,Sat,Dinner,2,0.16,18.310000000000002
110,110,110,110,110,14.0,3.0,Male,No,Sat,Dinner,2,0.16,17.0
111,111,111,111,111,7.25,1.0,Female,No,Sat,Dinner,1,0.17,8.25
112,112,112,112,112,38.07,4.0,Male,No,Sun,Dinner,3,0.15,42.07
113,113,113,113,113,23.95,2.55,Male,No,Sun,Dinner,2,0.16,26.5
114,114,114,114,114,25.71,4.0,Female,No,Sun,Dinner,3,0.15,29.71
115,115,115,115,115,17.31,3.5,Female,No,Sun,Dinner,2,0.16,20.81
116,116,116,116,116,29.93,5.07,Male,No,Sun,Dinner,4,0.14,35.0
117,117,117,117,117,10.65,1.5,Female,No,Thur,Lunch,2,0.16,12.15
118,118,118,118,118,12.43,1.8,Female,No,Thur,Lunch,2,0.16,14.23
119,119,119,119,119,24.08,2.92,Female,No,Thur,Lunch,4,0.14,27.0
120,120,120,120,120,11.69,2.31,Male,No,Thur,Lunch,2,0.16,14.0
121,121,121,121,121,13.42,1.68,Female,No,Thur,Lunch,2,0.16,15.1
122,122,122,122,122,14.26,2.5,Male,No,Thur,Lunch,2,0.16,16.759999999999998
123,123,123,123,123,15.95,2.0,Male,No,Thur,Lunch,2,0.16,17.95
124,124,124,124,124,12.48,2.52,Female,No,Thur,Lunch,2,0.16,15.0
125,125,125,125,125,29.8,4.2,Female,No,Thur,Lunch,6,0.12,34.0
126,126,126,126,126,8.52,1.48,Male,No,Thur,Lunch,2,0.16,10.0
127,127,127,127,127,14.52,2.0,Female,No,Thur,Lunch,2,0.16,16.52
128,128,128,128,128,11.38,2.0,Female,No,Thur,Lunch,2,0.16,13.38
129,129,129,129,129,22.82,2.18,Male,No,Thur,Lunch,3,0.15,25.0
130,130,130,130,130,19.08,1.5,Male,No,Thur,Lunch,2,0.16,20.58
131,131,131,131,131,20.27,2.83,Female,No,Thur,Lunch,2,0.16,23.1
132,132,132,132,132,11.17,1.5,Female,No,Thur,Lunch,2,0.16,12.67
133,133,133,133,133,12.26,2.0,Female,No,Thur,Lunch,2,0.16,14.26
134,134,134,134,134,18.26,3.25,Female,No,Thur,Lunch,2,0.16,21.51
135,135,135,135,135,8.51,1.25,Female,No,Thur,Lunch,2,0.16,9.76
136,136,136,136,136,10.33,2.0,Female,No,Thur,Lunch,2,0.16,12.33
137,137,137,137,137,14.15,2.0,Female,No,Thur,Lunch,2,0.16,16.15
138,138,138,138,138,16.0,2.0,Male,Yes,Thur,Lunch,2,0.16,18.0
139,139,139,139,139,13.16,2.75,Female,No,Thur,Lunch,2,0.16,15.91
140,140,140,140,140,17.47,3.5,Female,No,Thur,Lunch,2,0.16,20.97
141,141,141,141,141,34.3,6.7,Male,No,Thur,Lunch,6,0.12,41.0
142,142,142,142,142,41.19,5.0,Male,No,Thur,Lunch,5,0.13,46.19
143,143,143,143,143,27.05,5.0,Female,No,Thur,Lunch,6,0.12,32.05
144,144,144,144,144,16.43,2.3,Female,No,Thur,Lunch,2,0.16,18.73
145,145,145,145,145,8.35,1.5,Female,No,Thur,Lunch,2,0.16,9.85
146,146,146,146,146,18.64,1.36,Female,No,Thur,Lunch,3,0.15,20.0
147,147,147,147,147,11.87,1.63,Female,No,Thur,Lunch,2,0.16,13.5
148,148,148,148,148,9.78,1.73,Male,No,Thur,Lunch,2,0.16,11.51
149,149,149,149,149,7.51,2.0,Male,No,Thur,Lunch,2,0.16,9.51
150,150,150,150,150,14.07,2.5,Male,No,Sun,Dinner,2,0.16,16.57
151,151,151,151,151,13.13,2.0,Male,No,Sun,Dinner,2,0.16,15.13
152,152,152,152,152,17.26,2.74,Male,No,Sun,Dinner,3,0.15,20.0
153,153,153,153,153,24.55,2.0,Male,No,Sun,Dinner,4,0.14,26.55
154,154,154,154,154,19.77,2.0,Male,No,Sun,Dinner,4,0.14,21.77
155,155,155,155,155,29.85,5.14,Female,No,Sun,Dinner,5,0.13,34.99
156,156,156,156,156,48.17,5.0,Male,No,Sun,Dinner,6,0.12,53.17
157,157,157,157,157,25.0,3.75,Female,No,Sun,Dinner,4,0.14,28.75
158,158,158,158,158,13.39,2.61,Female,No,Sun,Dinner,2,0.16,16.0
159,159,159,159,159,16.49,2.0,Male,No,Sun,Dinner,4,0.14,18.49
160,160,160,160,160,21.5,3.5,Male,No,Sun,Dinner,4,0.14,25.0
161,161,161,161,161,12.66,2.5,Male,No,Sun,Dinner,2,0.16,15.16
162,162,162,162,162,16.21,2.0,Female,No,Sun,Dinner,3,0.15,18.21
163,163,163,163,163,13.81,2.0,Male,No,Sun,Dinner,2,0.16,15.81
164,164,164,164,164,17.51,3.0,Female,Yes,Sun,Dinner,2,0.16,20.51
165,165,165,165,165,24.52,3.48,Male,No,Sun,Dinner,3,0.15,28.0
166,166,166,166,166,20.76,2.24,Male,No,Sun,Dinner,2,0.16,23.0
167,167,167,167,167,31.71,4.5,Male,No,Sun,Dinner,4,0.14,36.21
168,168,168,168,168,10.59,1.61,Female,Yes,Sat,Dinner,2,0.16,12.2
169,169,169,169,169,10.63,2.0,Female,Yes,Sat,Dinner,2,0.16,12.63
170,170,170,170,170,50.81,10.0,Male,Yes,Sat,Dinner,3,0.15,60.81
171,171,171,171,171,15.81,3.16,Male,Yes,Sat,Dinner,2,0.16,18.97
172,172,172,172,172,7.25,5.15,Male,Yes,Sun,Dinner,2,0.16,12.4
173,173,173,173,173,31.85,3.18,Male,Yes,Sun,Dinner,2,0.16,35.03
174,174,174,174,174,16.82,4.0,Male,Yes,Sun,Dinner,2,0.16,20.82
175,175,175,175,175,32.9,3.11,Male,Yes,Sun,Dinner,2,0.16,36.01
176,176,176,176,176,17.89,2.0,Male,Yes,Sun,Dinner,2,0.16,19.89
177,177,177,177,177,14.48,2.0,Male,Yes,Sun,Dinner,2,0.16,16.48
178,178,178,178,178,9.6,4.0,Female,Yes,Sun,Dinner,2,0.16,13.6
179,179,179,179,179,34.63,3.55,Male,Yes,Sun,Dinner,2,0.16,38.18
180,180,180,180,180,34.65,3.68,Male,Yes,Sun,Dinner,4,0.14,38.33
181,181,181,181,181,23.33,5.65,Male,Yes,Sun,Dinner,2,0.16,28.979999999999997
182,182,182,182,182,45.35,3.5,Male,Yes,Sun,Dinner,3,0.15,48.85
183,183,183,183,183,23.17,6.5,Male,Yes,Sun,Dinner,4,0.14,29.67
184,184,184,184,184,40.55,3.0,Male,Yes,Sun,Dinner,2,0.16,43.55
185,185,185,185,185,20.69,5.0,Male,No,Sun,Dinner,5,0.13,25.69
186,186,186,186,186,20.9,3.5,Female,Yes,Sun,Dinner,3,0.15,24.4
187,187,187,187,187,30.46,2.0,Male,Yes,Sun,Dinner,5,0.13,32.46
188,188,188,188,188,18.15,3.5,Female,Yes,Sun,Dinner,3,0.15,21.65
189,189,189,189,189,23.1,4.0,Male,Yes,Sun,Dinner,3,0.15,27.1
190,190,190,190,190,15.69,1.5,Male,Yes,Sun,Dinner,2,0.16,17.189999999999998
191,191,191,191,191,19.81,4.19,Female,Yes,Thur,Lunch,2,0.16,24.0
192,192,192,192,192,28.44,2.56,Male,Yes,Thur,Lunch,2,0.16,31.0
193,193,193,193,193,15.48,2.02,Male,Yes,Thur,Lunch,2,0.16,17.5
194,194,194,194,194,16.58,4.0,Male,Yes,Thur,Lunch,2,0.16,20.58
195,195,195,195,195,7.56,1.44,Male,No,Thur,Lunch,2,0.16,9.0
196,196,196,196,196,10.34,2.0,Male,Yes,Thur,Lunch,2,0.16,12.34
197,197,197,197,197,43.11,5.0,Female,Yes,Thur,Lunch,4,0.14,48.11
198,198,198,198,198,13.0,2.0,Female,Yes,Thur,Lunch,2,0.16,15.0
199,199,199,199,199,13.51,2.0,Male,Yes,Thur,Lunch,2,0.16,15.51
200,200,200,200,200,18.71,4.0,Male,Yes,Thur,Lunch,3,0.15,22.71
201,201,201,201,201,12.74,2.01,Female,Yes,Thur,Lunch,2,0.16,14.75
202,202,202,202,202,13.0,2.0,Female,Yes,Thur,Lunch,2,0.16,15.0
203,203,203,203,203,16.4,2.5,Female,Yes,Thur,Lunch,2,0.16,18.9
204,204,204,204,204,20.53,4.0,Male,Yes,Thur,Lunch,4,0.14,24.53
205,205,205,205,205,16.47,3.23,Female,Yes,Thur,Lunch,3,0.15,19.7
206,206,206,206,206,26.59,3.41,Male,Yes,Sat,Dinner,3,0.15,30.0
207,207,207,207,207,38.73,3.0,Male,Yes,Sat,Dinner,4,0.14,41.73
208,208,208,208,208,24.27,2.03,Male,Yes,Sat,Dinner,2,0.16,26.3
209,209,209,209,209,12.76,2.23,Female,Yes,Sat,Dinner,2,0.16,14.99
210,210,210,210,210,30.06,2.0,Male,Yes,Sat,Dinner,3,0.15,32.06
211,211,211,211,211,25.89,5.16,Male,Yes,Sat,Dinner,4,0.14,31.05
212,212,212,212,212,48.33,9.0,Male,No,Sat,Dinner,4,0.14,57.33
213,213,213,213,213,13.27,2.5,Female,Yes,Sat,Dinner,2,0.16,15.77
214,214,214,214,214,28.17,6.5,Female,Yes,Sat,Dinner,3,0.15,34.67
215,215,215,215,215,12.9,1.1,Female,Yes,Sat,Dinner,2,0.16,14.0
216,216,216,216,216,28.15,3.0,Male,Yes,Sat,Dinner,5,0.13,31.15
217,217,217,217,217,11.59,1.5,Male,Yes,Sat,Dinner,2,0.16,13.09
218,218,218,218,218,7.74,1.44,Male,Yes,Sat,Dinner,2,0.16,9.18
219,219,219,219,219,30.14,3.09,Female,Yes,Sat,Dinner,4,0.14,33.230000000000004
220,220,220,220,220,12.16,2.2,Male,Yes,Fri,Lunch,2,0.16,14.36
221,221,221,221,221,13.42,3.48,Female,Yes,Fri,Lunch,2,0.16,16.9
222,222,222,222,222,8.58,1.92,Male,Yes,Fri,Lunch,1,0.17,10.5
223,223,223,223,223,15.98,3.0,Female,No,Fri,Lunch,3,0.15,18.98
224,224,224,224,224,13.42,1.58,Male,Yes,Fri,Lunch,2,0.16,15.0
225,225,225,225,225,16.27,2.5,Female,Yes,Fri,Lunch,2,0.16,18.77
226,226,226,226,226,10.09,2.0,Female,Yes,Fri,Lunch,2,0.16,12.09
227,227,227,227,227,20.45,3.0,Male,No,Sat,Dinner,4,0.14,23.45
228,228,228,228,228,13.28,2.72,Male,No,Sat,Dinner,2,0.16,16.0
229,229,229,229,229,22.12,2.88,Female,Yes,Sat,Dinner,2,0.16,25.0
230,230,230,230,230,24.01,2.0,Male,Yes,Sat,Dinner,4,0.14,26.01
231,231,231,231,231,15.69,3.0,Male,Yes,Sat,Dinner,3,0.15,18.689999999999998
232,232,232,232,232,11.61,3.39,Male,No,Sat,Dinner,2,0.16,15.0
233,233,233,233,233,10.77,1.47,Male,No,Sat,Dinner,2,0.16,12.24
234,234,234,234,234,15.53,3.0,Male,Yes,Sat,Dinner,2,0.16,18.53
235,235,235,235,235,10.07,1.25,Male,No,Sat,Dinner,2,0.16,11.32
236,236,236,236,236,12.6,1.0,Male,Yes,Sat,Dinner,2,0.16,13.6
237,237,237,237,237,32.83,1.17,Male,Yes,Sat,Dinner,2,0.16,34.0
238,238,238,238,238,35.83,4.67,Female,No,Sat,Dinner,3,0.15,40.5
239,239,239,239,239,29.03,5.92,Male,No,Sat,Dinner,3,0.15,34.95
240,240,240,240,240,27.18,2.0,Female,Yes,Sat,Dinner,2,0.16,29.18
241,241,241,241,241,22.67,2.0,Male,Yes,Sat,Dinner,2,0.16,24.67
242,242,242,242,242,17.82,1.75,Male,No,Sat,Dinner,2,0.16,19.57
243,243,243,243,243,18.78,3.0,Female,No,Thur,Dinner,2,0.16,21.78
